RMSD,Area,ED,Energy,SS,ResidueLength,PairNumber
2.742,4722.92,4019.64,-1.60E+03,13,79,317
1.557,4059.12,2191.03,-1146.08,20,54,165
2.362,4773.56,2787.99,-1263.38,46,67,224
3.892,8271.27,9545.98,-2848.93,26,138,554
4.454,7102.16,14148.8,-2381.15,85,120,809
4.991,7015.24,7336.79,-1699.8,22,95,427
2.655,8620.28,24949.9,-3198.06,35,157,1519
2.811,9238.73,39245.5,-2.59E+03,15,196,1885
0,12276.4,59742,-5101,56,249,2826
4.322,14165.5,140950,-1.41E+03,82,315,5844
0,7069.95,15336.6,-3000.09,81,133,847
4.524,10768.8,28521,-3732.37,61,214,1469
0,10255.7,66668,-6050,97,207,3048
0,6411.13,9698,-2686,59,104,652
4.339,8766.37,11524.1,-3270.78,44,156,654
3.217,9764.47,51960.7,-2.51E+03,16,188,2599
2.504,15208.6,90305.4,-2.28E+03,53,223,2059
0,6628.08,6490.83,-1923.04,23,100,485
0,7836.78,5545,-2661,41,126,371
0,10787.8,103850,-4705,85,237,4804
0,7347.39,13978,-3121,24,126,765
3.222,15563.6,110121,-6.38E+03,38,322,4619
2.034,5091.81,4269.08,-1.52E+03,10,79,317
2.963,3840,1433.37,-606.618,32,40,100
3.682,15435,144972,-5803.6,170,308,6057
1.633,13353.1,40216.5,-1.76E+03,43,234,1581
0,18609.3,300553,-12391,73,464,10829
2.885,12024.8,115245,-2.02E+03,47,235,4905
0,23099.1,280276,-13215,264,465,8741
2.136,8334.2,9499.81,-2868.48,97,130,490
3.869,11983.7,46065.4,-5543.47,49,273,2061
3.513,18072.9,161030,-8.83E+03,91,388,6290
0,13071.6,151812,-6450,66,284,6506
3.342,19248.1,162489,-1.06E+04,88,388,6290
0,19217.4,205811,-10695,61,390,6741
1.917,9714.1,33873.2,-2.73E+03,56,234,1581
4.117,4911.72,2837.21,-1207.83,47,67,224
3.221,12894.8,60525,-4.78E+03,25,247,2754
2.59,10721.5,38062.2,-4162.48,129,205,1751
3.62,10991.8,86042.1,-2.96E+03,18,220,3450
3.513,3736.8,1436.3,-634.175,33,40,100
0,5993.3,4806,-1941,18,111,345
0,20309.9,291719,-11688,242,487,10978
0,12888.4,171016,-6821,63,299,7334
2.6,7478.85,14147.7,-2295.22,90,120,809
0,17083.7,94618,-8497,92,365,3633
4.785,9883.77,40847.4,-2722.39,60,159,2181
2.628,5382.92,4179.02,-1499.3,122,88,318
3.672,9454.53,27663.8,-2981.07,101,158,1403
2.401,7325.19,9277.63,-3214.06,21,138,554
4.796,23999.8,456954,-1.20E+04,51,483,15505
4.978,10673,26600.5,-3313.23,28,174,1415
1.289,11059.1,68879.1,-5251.84,148,247,3373
2.404,16312.6,115767,-4.26E+03,55,271,4426
3.062,9434.08,38959,-4287.95,20,193,2118
3.777,9666.72,33029,-3402.85,87,176,1922
4.682,12626.8,72561.2,-5540.34,47,262,3211
3.393,20368.8,193489,-4.90E+03,93,403,6746
2.454,17021.5,164814,-7371.08,65,352,6744
0,12773,70843,-5725,29,210,2894
0,5205.31,4188,-2124,15,88,318
2.802,13768.3,50902.1,-4.04E+03,47,234,2464
0,20676.4,244148,-6136,48,368,5025
2.45,23848.5,469672,-1.08E+04,59,483,15505
2.941,9564.01,12121.7,-2630.01,92,136,619
1.923,20911.5,163006,-8.73E+03,93,449,5537
0,6766.37,7326,-2343,57,108,517
0,8754.11,27397,-4556,13,142,1255
4.332,10106.7,27928,-2735.9,76,158,1403
2.623,17682.4,174076,6.30E+03,66,403,6746
4.661,13123.6,78485.7,-5.04E+03,63,272,3539
3.951,6910.78,4085.64,-2288.24,70,101,249
0,10201.5,43306,-4973,33,199,2061
2.595,14025.1,92585.3,-5.58E+03,50,254,3885
4.949,7976.18,7585.75,-1.69E+03,161,109,486
4,11176,18259.1,-3331.32,55,172,973
0,8368.98,26567,-3618,28,165,1524
4.381,9784.19,36750.7,-3.06E+03,41,196,1997
0,14703.1,93227,-5737,47,311,3802
3.051,10996.9,87333.1,-2.39E+03,14,220,3450
3.972,5757.49,11120.1,-1915.98,21,102,764
2.95,7511.6,14204.6,-2351.32,82,120,809
0,11172.1,48737,-5984,176,233,2325
0,8253.66,22740,-1810,23,138,1206
3.736,6796.84,14057.7,-1527.94,12,96,804
4.552,13128.5,59784.8,-3.64E+03,71,223,2822
3.265,10445.5,84668.3,-2.01E+03,25,220,3450
2.711,24511,474472,-1.07E+04,45,483,15505
4.923,9297.16,30430,-3162.94,116,171,1747
4.764,13011.9,70519.9,-5529.93,42,262,3211
2.422,6726.28,12062.3,-1807.84,8,105,765
4.298,2726.91,52.5799,-4.30E+02,92,33,5
3.66,13432.5,60792.1,-5.42E+03,27,247,2754
0,9756.25,38530,-2126,34,209,1524
0,15547.5,67787,-6540,61,273,2129
3.842,13392.7,79963.8,-5.16E+03,48,272,3539
4.713,9282.91,29260.1,-3378.18,31,179,1626
0,19176.5,299930,-10794,87,407,10820
0,6363.31,9414,-2356,34,101,586
1.969,5398.82,4276.59,-7.17E+02,10,79,317
4.562,12639.7,70542.2,-5318.65,70,262,3211
0,8825.51,35892,-3519,40,175,1868
4.733,11741,52851.3,-4344.44,99,209,2534
3.347,8936.12,28128.2,-2820.32,95,156,1521
4.28,5055.64,2870.85,-1199.41,47,67,224
1.455,9020.21,17476.2,-4127.4,30,183,931
0,8648.61,15678,-3176,77,125,889
4.549,6779.08,12811.6,-1540.87,31,96,804
3.414,24235.6,275831,-1.29E+04,83,540,8870
4.49,14257,79237.5,-7189.59,58,320,3466
3.663,8067.24,9426.1,-2960.66,21,138,554
0,5799.93,6030,-1152,12,80,316
0,8087.84,23021,-2302,17,145,1357
4.253,9910,35151.4,-4456.41,129,208,1691
1.584,4208.38,2173.98,-1051.37,20,54,165
0,7383.83,12007,-1608,26,145,768
4.467,9976.33,36430,-4388.08,117,208,1691
1.54,4209.06,2179.4,-1036.21,20,54,165
4.668,4513.02,4068.02,-1363.32,23,72,340
4.567,23288.5,279622,-9205.06,72,468,9276
2.639,9464.38,10028.9,-1.66E+03,47,154,587
0,5849.32,4670,-2029,46,95,344
4.961,7368.76,9526.94,-1.15E+03,26,102,516
1.932,3867.66,2203.3,-1034.09,21,54,165
4.468,9262.44,28718.5,-3305.19,35,179,1626
2.276,14189.6,59502.1,-6690.93,158,305,2610
3.845,12269.5,57637.3,-2.20E+03,37,223,2822
3.49,8513.96,26319.7,-2.32E+03,30,156,1364
3.125,9332.9,26774,-2.36E+03,31,156,1364
